Index,Feature,Importance
563,jml_first_ion_en_add_elec_aff,0.0011986622
1648,jml_nn_38,0.0011632087
1403,jml_adf2_151,0.0011589056
217,jml_first_ion_en_subs_voro_coord,0.0011544327
1399,jml_adf2_147,0.0011459329
266,jml_polzbl_mult_mp,0.0011415042
50,dev_CovalentRadius,0.0011381039
1646,jml_nn_36,0.0011241364
331,jml_X_add_voro_coord,0.0011205772
386,jml_polzbl_divi_atom_rad,0.0011180734
1743,SumCrFeNi,0.0011155447
351,jml_elec_aff_mult_mp,0.0011032982
1274,jml_adf2_22,0.0011006106
1636,jml_nn_26,0.0010903802
177,jml_C-4,0.0010858563
997,jml_rdf_24,0.0010641648
1119,jml_adf1_46,0.0010525871
23,avg_MendeleevNumber,0.0010481708
1711,volume,0.0010477962
564,jml_first_ion_en_add_mol_vol,0.0010439729
1683,jml_nn_73,0.0010399743
128,min_GSvolume_pa,0.0010379709
169,jml_mp_divi_therm_cond,0.001026074
1380,jml_adf2_128,0.0010214684
1666,jml_nn_56,0.0010213399
1338,jml_adf2_86,0.0010202914
1104,jml_adf1_31,0.0010199868
1366,jml_adf2_114,0.0010166735
1663,jml_nn_53,0.0010147288
1742,SumCrMnNi,0.0010119092
1033,jml_rdf_60,0.0009942563
1687,jml_nn_77,0.0009929205
11,sum_NfValence,0.0009919895
1238,jml_adf1_165,0.000986025
312,jml_X_subs_first_ion_en,0.000980888
1732,SumFeNi,0.0009797103
205,jml_npvalence,0.0009786484
1473,jml_ddf_42,0.0009765988
41,avg_GSbandgap,0.00097402907
1079,jml_adf1_6,0.0009730377
76,range_NdValence,0.00097061857
1740,SumCrMnCo,0.00096477807
1731,SumMnNi,0.00096470193
189,jml_first_ion_en_divi_atom_mass,0.0009640166
648,jml_mean_charge_53,0.00094823836
345,jml_atom_rad_divi_therm_cond,0.0009468761
84,range_GSvolume_pa,0.0009368066
1293,jml_adf2_41,0.00093602587
87,range_SpaceGroupNumber,0.0009314338
81,range_NdUnfilled,0.0009280356
53,dev_NpValence,0.000908891
1267,jml_adf2_15,0.00090757554
482,jml_voro_coord_divi_atom_rad,0.0009065671
1641,jml_nn_31,0.00090276863
1098,jml_adf1_25,0.00090036035
1294,jml_adf2_42,0.00089683395
1542,jml_ddf_111,0.00088755984
1413,jml_adf2_161,0.00088754296
1607,jml_ddf_176,0.0008779885
1439,jml_ddf_8,0.00087762286
1004,jml_rdf_31,0.00087622687
249,jml_therm_cond_subs_first_ion_en,0.0008759774
530,jml_block,0.0008733584
1671,jml_nn_61,0.0008723475
1389,jml_adf2_137,0.00085956784
1252,jml_adf1_179,0.00085855246
1022,jml_rdf_49,0.00085617724
1633,jml_nn_23,0.0008525544
627,jml_mean_charge_32,0.00084554445
95,max_Electronegativity,0.00084337656
320,jml_polzbl_add_therm_cond,0.00084300723
1350,jml_adf2_98,0.00084195996
1105,jml_adf1_32,0.000835981
